FieldID,Column,Row2,ID2,Latitude,Longitude,Year,SampleID,Crop,GrainWeightWet
CookEast,5,A,1,46.778729,-117.087514,2016,GPHY16_SC_A4_1_5-A_B,SC,330
CookEast,6,A,2,46.77869163,-117.0870645,2016,GPHY16_SC_A5_2_6-A_B,SC,355
CookEast,7,A,3,46.778791,-117.086678,2016,GPHY16_SC_A5_3_7-A_B,SC,512
CookEast,8,A,4,46.778761,-117.08626,2016,GPHY16_SC_A6_4_8-A_B,SC,657
CookEast,9,A,5,46.778666,-117.085842,2016,GPHY16_SC_B1_5_9-A_B,SC,618
CookEast,10,A,6,46.77877321,-117.0854187,2016,GPHY16_SC_B2_6_10-A_B,SC,502
CookEast,11,A,7,46.778632,-117.085006,2016,GPHY16_SC_B3_7_11-A_B,SC,590
CookEast,12,A,8,46.778721,-117.084588,2016,GPHY16_SC_B3_8_12-A_B,SC,238
CookEast,13,A,9,46.778674,-117.08417,2016,GPHY16_SC_B4_9_13-A_B,SC,391
CookEast,14,A,10,46.778737,-117.083752,2016,GPHY16_SC_B5_10_14-A_B,SC,464
CookEast,15,A,11,46.778658,-117.083334,2016,GPHY16_SC_B6_11_15-A_B,SC,277
CookEast,16,A,12,46.77873108,-117.0829398,2016,GPHY16_SC_B6_12_16-A_B,SC,227
CookEast,17,A,13,46.778764,-117.082498,2016,GPHY16_WW_C1_13_17-A_G,WW,1124
CookEast,19,A,14,46.77868864,-117.0816322,2016,GPHY16_WW_C3_14_19-A_G,WW,1353
CookEast,20,A,15,46.778707,-117.081244,2016,GPHY16_WW_C3_15_20-A_G,WW,1014
CookEast,22,A,16,46.778826,-117.080408,2016,GPHY16_WW_C4_16_22-A_G,WW,1269
CookEast,23,A,17,46.778797,-117.07999,2016,GPHY16_WW_C5_17_23-A_G,WW,1131
CookEast,1,B,18,46.77895174,-117.0888801,2016,GPHY16_SC_A1_18_1-B_B,SC,205
CookEast,2,B,19,46.77882662,-117.0884663,2016,GPHY16_SC_A2_19_2-B_B,SC,435
CookEast,3,B,20,46.778867,-117.088064,2016,GPHY16_SC_A2_20_3-B_B,SC,223
CookEast,4,B,21,46.778842,-117.087646,2016,GPHY16_SC_A3_21_4-B_B,SC,152
CookEast,5,B,22,46.779015,-117.087228,2016,GPHY16_SC_A4_22_5-B_B,SC,373
CookEast,6,B,23,46.77900278,-117.086831,2016,GPHY16_SC_A4_23_5-B_B,SC,439
CookEast,7,B,24,46.779077,-117.086392,2016,GPHY16_SC_A5_24_7-B_B,SC,232
CookEast,8,B,25,46.779047,-117.085974,2016,GPHY16_SC_A6_25_8-B_B,SC,392
CookEast,9,B,26,46.778952,-117.085556,2016,GPHY16_SC_B1_26_9-B_B,SC,540
CookEast,10,B,27,46.77906282,-117.085117,2016,GPHY16_SC_B2_27_10-B_B,SC,384
CookEast,11,B,28,46.778918,-117.08472,2016,GPHY16_SC_B3_28_11-B_B,SC,546
CookEast,12,B,29,46.779007,-117.084302,2016,GPHY16_SC_B3_29_12-B_B,SC,427
CookEast,13,B,30,46.77896,-117.083884,2016,GPHY16_SC_B4_30_13-A_B,SC,284
CookEast,14,B,31,46.779023,-117.083466,2016,GPHY16_SC_B5_31_14-B_B,SC,299
CookEast,15,B,32,46.778944,-117.083048,2016,GPHY16_SC_B6_32_15-B_B,SC,293
CookEast,16,B,33,46.779013,-117.08263,2016,GPHY16_SC_B6_33_16-B_B,SC,198
CookEast,17,B,34,46.77905,-117.082212,2016,GPHY16_WW_C1_34_17-B_G,WW,724
CookEast,18,B,35,46.778852,-117.081794,2016,GPHY16_WW_C2_35_18-B_B,WW,1257
CookEast,19,B,36,46.77900737,-117.0814058,2016,GPHY16_WW_C2_36_19-B_G,WW,1162
CookEast,20,B,37,46.778993,-117.080958,2016,GPHY16_WW_C3_37_20-B_G,WW,768
CookEast,21,B,38,46.778849,-117.08054,2016,GPHY16_WW_C4_38_21-B_G,WW,1042
CookEast,22,B,39,46.779112,-117.080122,2016,GPHY16_WW_C4_39_22-B_G,WW,586
CookEast,23,B,40,46.779083,-117.079704,2016,GPHY16_WW_C5_40_23-B_G,WW,635
CookEast,24,B,41,46.779047,-117.079286,2016,GPHY16_WW_C6_41_24-B_G,WW,1162
CookEast,2,C,42,46.77911338,-117.0887062,2016,GPHY16_SC_A1_42_2-C_B,SC,319
