"Column","Row2","SampleID","Crop","GrainWeightWet","Protein","Moisture","Starch","WGlutDM","TestWeight","ID2","Longitude","Latitude","Notes","FieldID","Year"
17,"Q","GPHY14_GB_A4_398_17-Q","GB",297,NA,NA,NA,NA,NA,398,-117.08227546,46.78335797," |  | ","CookEast",2014
18,"Q","CF14GPSWGrn_A6_399_18-Q","SW",1068,9.3,7.9,74.7,22.3,57.3,399,-117.081826,46.783142," | STARCH OUTSIDE LIMITS | ","CookEast",2014
19,"Q","CF14GPSWGrn_A6_400_19-Q","SW",804,8.1,6.8,71,20.2,53.8,400,-117.081408,46.783281,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
20,"Q","CF14GPWW_400_20-Q","WW",1036,9.2,9.5,70,24.1,47,401,-117.08099,46.783283,"Starch outside limits |  | ","CookEast",2014
21,"Q","CF14GPWW_401_21-Q","WW",1044,11.9,8.6,69.6,31.6,50.6,402,-117.080572,46.783139," |  | ","CookEast",2014
15,"R","GPHY14_GB_A2_419_15-R","GB",328,NA,NA,NA,NA,NA,419,-117.08321056,46.7834571," |  | ","CookEast",2014
16,"R","GPHY14_GB_A3_420_16-R","GB",413,NA,NA,NA,NA,NA,420,-117.08277087,46.78351532," |  | ","CookEast",2014
17,"R","GPHY14_GB_A4_421_17-R","GB",385,NA,NA,NA,NA,NA,421,-117.08236678,46.78355231," |  | ","CookEast",2014
18,"R","CF14GPSWGrn_A5_422_18-R","SW",717,10.4,6.8,74.2,24.7,56.2,422,-117.081933,46.783428,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
19,"R","CF14GPSWGrn_A6_423_19-R","SW",1113,11.7,7.1,71.9,30,60.6,423,-117.08148355,46.78355263,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
20,"R","CF14GPSWGrn_A6_424_20-R","SW",839,13.2,7.1,66,34.5,58.5,424,-117.081097,46.783569," |  | ","CookEast",2014
21,"R","CF14GPWW_424_21-R","WW",1001,9.1,9.5,70,23.6,48.4,425,-117.080679,46.783425,"Starch outside limits |  | ","CookEast",2014
